no,Main Module,Sub Module,"type ",basic,moderate,strict,custom,level
1.1.1,Filesystem,Kernel Modules,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
1.1.10,Filesystem,Kernel Modules,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
1.1.2,Filesystem,Kernel Modules,ENUM,['disabled'],['disabled'],['disabled'],['disabled'],basic
1.1.3,Filesystem,Kernel Modules,ENUM,['disabled'],['disabled'],['disabled'],['disabled'],basic
1.1.4,Filesystem,Kernel Modules,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
1.1.5,Filesystem,Kernel Modules,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
1.1.6,Filesystem,Kernel Modules,ENUM,['disabled'],['disabled'],['disabled'],['disabled'],basic
1.1.7,Filesystem,Kernel Modules,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
1.1.8,Filesystem,Kernel Modules,ENUM,['disabled'],['disabled'],['disabled'],['disabled'],basic
1.1.9,Filesystem,Kernel Modules,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
1.2.1,Filesystem,/tmp Partition,ENUM,['Mounted'],['Mounted'],['Mounted'],['Mounted'],basic
1.2.2,Filesystem,/tmp Partition,ENUM,['enabled'],['enabled'],['enabled'],['enabled'],basic
1.2.3,Filesystem,/tmp Partition,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
1.2.4,Filesystem,/tmp Partition,ENUM,['enabled'],['enabled'],['enabled'],['enabled'],basic
1.3.1,Filesystem,/dev/shm Partition,ENUM,['mounted'],['mounted'],['mounted'],['mounted'],basic
1.3.2,Filesystem,/dev/shm Partition,ENUM,['present'],['present'],['present'],['present'],basic
1.3.3,Filesystem,/dev/shm Partition,ENUM,['enabled'],['enabled'],['enabled'],['enabled'],basic
1.3.4,Filesystem,/dev/shm Partition,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
1.4.1,Filesystem,/home Partition,ENUM,['true'],['true'],['true'],['true'],basic
1.4.2,Filesystem,/home Partition,ENUM,['nodev'],['nodev'],['nodev'],['nodev'],basic
1.4.3,Filesystem,/home Partition,ENUM,['Present'],['Present'],['Present'],['Present'],basic
1.5.1,Filesystem,/var Partition,ENUM,['true'],['true'],['true'],['true'],basic
1.5.2,Filesystem,/var Partition,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
1.5.3,Filesystem,/var Partition,ENUM,['nosuid'],['nosuid'],['nosuid'],['nosuid'],basic
1.6.1,Filesystem,/var/tmp Partition,ENUM,['mounted'],['mounted'],['mounted'],['mounted'],basic
1.6.2,Filesystem,/var/tmp Partition,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
1.6.3,Filesystem,/var/tmp Partition,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
1.6.4,Filesystem,/var/tmp Partition,ENUM,['noexec'],['noexec'],['noexec'],['noexec'],basic
1.7.1,Filesystem,/var/log Partition,ENUM,['Mounted'],['Mounted'],['Mounted'],['Mounted'],basic
1.7.2,Filesystem,/var/log Partition,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
1.7.3,Filesystem,/var/log Partition,ENUM,['nosuid'],['nosuid'],['nosuid'],['nosuid'],basic
1.7.4,Filesystem,/var/log Partition,ENUM,['enabled'],['enabled'],['enabled'],['enabled'],basic
1.8.1,Filesystem,/var/log/audit Partition,ENUM,['mounted'],['mounted'],['mounted'],['mounted'],basic
1.8.2,Filesystem,/var/log/audit Partition,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
1.8.3,Filesystem,/var/log/audit Partition,ENUM,['enabled'],['enabled'],['enabled'],['enabled'],basic
1.8.4,Filesystem,/var/log/audit Partition,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
2.1.1,Package Management,Bootloader,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
2.1.2,Package Management,Bootloader,ENUM,['Configured'],['Configured'],['Configured'],['Configured'],basic
2.2.1,Package Management,Additional Process Hardening,ENUM,['2'],['2'],['2'],['2'],basic
2.2.2,Package Management,Additional Process Hardening,RANGE,"[1, 3]","[2, 3]","[3, 3]","[1, 3]",basic
2.2.3,Package Management,Additional Process Hardening,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
2.2.4,Package Management,Additional Process Hardening,ENUM,['not installed'],['not installed'],['not installed'],['not installed'],basic
2.2.5,Package Management,Additional Process Hardening,ENUM,['disabled'],['disabled'],['disabled'],['disabled'],basic
2.3.1,Package Management,Command Line Warning Banners,ENUM,['Authorized uses only. All activity may be monitored and reported.'],"['This system is for authorized use only. Use of this system constitutes consent to monitoring, recording, and auditing. Unauthorized use is prohibited and may be subject to criminal and civil penalties.']","['You are accessing a restricted Information System. By using this system, you consent to the following conditions: (1) System activity is monitored, recorded, and subject to audit. (2) Unauthorized use is prohibited and subject to criminal and civil penalties. (3) There is no expectation of privacy except as otherwise provided by applicable privacy laws.']",['Authorized uses only. All activity may be monitored and reported.'],basic
