no,Main,Sub,"type ",basic,moderate,strict,custom,level
1.1.1,Filesystem,Kernel Modules,ENUM,['disabled'],['disabled'],['disabled'],['disabled'],basic
1.1.10,Filesystem,Kernel Modules,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
1.1.2,Filesystem,Kernel Modules,ENUM,['disabled'],['disabled'],['disabled'],['disabled'],basic
1.1.3,Filesystem,Kernel Modules,ENUM,['disabled'],['disabled'],['disabled'],['disabled'],basic
1.1.4,Filesystem,Kernel Modules,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
1.1.5,Filesystem,Kernel Modules,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
1.1.6,Filesystem,Kernel Modules,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
1.1.7,Filesystem,Kernel Modules,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
1.1.8,Filesystem,Kernel Modules,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
1.1.9,Filesystem,Kernel Modules,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
1.2.1,Filesystem,/tmp Partition,ENUM,['mounted'],['mounted'],['mounted'],['mounted'],basic
1.2.2,Filesystem,/tmp Partition,ENUM,['set'],['set'],['set'],['set'],basic
1.2.3,Filesystem,/tmp Partition,ENUM,['enabled'],['enabled'],['enabled'],['enabled'],basic
1.2.4,Filesystem,/tmp Partition,ENUM,['Present'],['Present'],['Present'],['Present'],basic
1.3.1,Filesystem,/dev/shm Partition,ENUM,['mounted'],['mounted'],['mounted'],['mounted'],basic
1.3.2,Filesystem,/dev/shm Partition,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
1.3.3,Filesystem,/dev/shm Partition,ENUM,['nosuid'],['nosuid'],['nosuid'],['nosuid'],basic
1.3.4,Filesystem,/dev/shm Partition,ENUM,['enabled'],['enabled'],['enabled'],['enabled'],basic
1.4.1,Filesystem,/home Partition,ENUM,['Mounted'],['Mounted'],['Mounted'],['Mounted'],basic
1.4.2,Filesystem,/home Partition,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
1.4.3,Filesystem,/home Partition,ENUM,['enabled'],['enabled'],['enabled'],['enabled'],basic
1.5.1,Filesystem,/var Partition,ENUM,['Mounted'],['Mounted'],['Mounted'],['Mounted'],basic
1.5.2,Filesystem,/var Partition,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
1.5.3,Filesystem,/var Partition,ENUM,['enabled'],['enabled'],['enabled'],['enabled'],basic
1.6.1,Filesystem,/var/tmp Partition,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
1.6.2,Filesystem,/var/tmp Partition,ENUM,['enabled'],['enabled'],['enabled'],['enabled'],basic
1.6.3,Filesystem,/var/tmp Partition,ENUM,['Set'],['Set'],['Set'],['Set'],basic
1.6.4,Filesystem,/var/tmp Partition,ENUM,['enabled'],['enabled'],['enabled'],['enabled'],basic
1.7.1,Filesystem,/var/log Partition,ENUM,['Mounted'],['Mounted'],['Mounted'],['Mounted'],basic
1.7.2,Filesystem,/var/log Partition,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
1.7.3,Filesystem,/var/log Partition,ENUM,['present'],['present'],['present'],['present'],basic
1.7.4,Filesystem,/var/log Partition,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
1.8.1,Filesystem,/var/log/audit Partition,ENUM,['Mounted'],['Mounted'],['Mounted'],['Mounted'],basic
1.8.2,Filesystem,/var/log/audit Partition,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
1.8.3,Filesystem,/var/log/audit Partition,ENUM,['enabled'],['enabled'],['enabled'],['enabled'],basic
1.8.4,Filesystem,/var/log/audit Partition,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
2.1.1,Package Management,Bootloader,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
2.1.2,Package Management,Bootloader,ENUM,['root:root 600'],['root:root 600'],['root:root 600'],['root:root 600'],basic
2.2.1,Package Management,Additional Process Hardening,RANGE,"[1, 2]","[2, 2]","[2, 2]","[1, 2]",basic
2.2.2,Package Management,Additional Process Hardening,RANGE,"[1, 3]","[2, 3]","[3, 3]","[1, 3]",basic
2.2.3,Package Management,Additional Process Hardening,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
2.2.4,Package Management,Additional Process Hardening,ENUM,['Not Installed'],['Not Installed'],['Not Installed'],['Not Installed'],basic
2.2.5,Package Management,Additional Process Hardening,ENUM,['0'],['Not Installed'],['Not Installed'],['0'],basic
