no,Main,Sub,type ,basic,moderate,strict,custom,level
1.1.1,Account Policies ,Password Policy,RANGE,"[24, 'upper bound']","[36, 'upper bound']","[50, 'upper bound']","[24, 'upper bound']",basic
1.1.2,Account Policies ,Password Policy,RANGE,"[1, 90]","[1, 60]","[1, 30]","[1, 90]",basic
1.1.3,Account Policies ,Password Policy,RANGE,"[1, 1]","[1, 1]","[1, 1]","[1, 1]",basic
1.1.4,Account Policies ,Password Policy,RANGE,"[12, 'upper bound']","[14, 'upper bound']","[16, 'upper bound']","[12, 'upper bound']",basic
1.2.1,Account Policies ,Password Policy,ENUM,"[15, 'upper bound']","[30, 'upper bound']","[60, 'upper bound']","[15, 'upper bound']",basic
1.2.2,Account Policies ,Password Policy,ENUM,"[5, 1]","[3, 1]","[1, 1]","[5, 1]",basic
3.2.3,Account Policies ,Account Lockout Policy ,RANGE,"[10, 1]","[5, 1]","[3, 1]","[10, 1]",basic
3.2.4,Account Policies ,Account Lockout Policy ,RANGE,"[900,1]","[600,1]","[300,1]","[900,1]",basic
3.2.6,Account Policies ,Account Lockout Policy ,ENUM,"[14, 5]","[10, 5]","[5, 5]","[14, 5]",basic
3.3.1,Local Policies ,User Rights Assignment,ENUM,"[15,1]","[10,1]","[5,1]","[15,1]",basic
5.1.6,Local Policies ,User Rights Assignment,ENUM,"[16384, 'upper bound']","[32768, 'upper bound']","[65536, 'upper bound']","[16384, 'upper bound']",basic
5.2.8,Local Policies ,User Rights Assignment,ENUM,"[16384, 'upper bound']","[32768, 'upper bound']","[65536, 'upper bound']","[16384, 'upper bound']",basic
1.1.5,Local Policies ,User Rights Assignment,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
1.1.6,Local Policies ,User Rights Assignment,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
1.2.3,Local Policies ,User Rights Assignment,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
2.1.1,Local Policies ,User Rights Assignment,ENUM,[''],[''],[''],[''],basic
2.1.2,Security Options,Accounts ,ENUM,"['Administrators', 'Remote Desktop Users']",['Administrators'],['Administrators'],"['Administrators', 'Remote Desktop Users']",basic
2.1.3,Security Options,Accounts ,ENUM,"['Administrators,LOCAL SERVICE,NETWORK SERVICE']","['Administrators,LOCAL SERVICE,NETWORK SERVICE']","['Administrators,LOCAL SERVICE,NETWORK SERVICE']","['Administrators,LOCAL SERVICE,NETWORK SERVICE']",basic
2.1.4,Security Options,Accounts ,ENUM,"['Administrators,Users']",['Administrators'],['Administrators'],"['Administrators,Users']",basic
2.1.5,Security Options,Accounts ,ENUM,['Administrators'],['Administrators'],['Administrators'],['Administrators'],basic
2.1.6,Security Options,Accounts ,ENUM,"['Administrators,LOCAL SERVICE']","['Administrators,LOCAL SERVICE']","['Administrators,LOCAL SERVICE']","['Administrators,LOCAL SERVICE']",basic
2.1.7,Security Options,Interactive logon,ENUM,"['Administrators,LOCAL SERVICE,Users']","['Administrators,LOCAL SERVICE']",['Administrators'],"['Administrators,LOCAL SERVICE,Users']",basic
3.1.1,Security Options,Interactive logon,ENUM,['1'],['3'],['3'],['1'],basic
3.1.2,Security Options,Interactive logon,RANGE,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
3.1.3,Security Options,Interactive logon,RANGE,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
3.1.4,Security Options,Interactive logon,ENUM,['CorpAdmin'],['LocalSvcMGR'],['LclAdmAcct9$'],['CorpAdmin'],basic
3.1.5,Security Options,Interactive logon,RANGE,['Guest_Renamed'],['LocalUser_Standard'],['Lcl_Acct_x8k4z9'],['Guest_Renamed'],basic
3.2.1,Security Options,Microsoft network server ,RANGE,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
3.2.2,Security Options,Microsoft network server ,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
3.2.5,Security Options,Microsoft network server ,ENUM,['Authorized Use Only'],['WARNING: Authorized Access Only'],['NOTICE: System Use and Monitoring Policy'],['Authorized Use Only'],basic
3.3.2,Security Options,Microsoft network server ,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
3.3.3,Security Options,Microsoft network server ,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
3.3.4,Security Options,Microsoft network server ,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
3.3.5,Security Options,Microsoft network server ,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
3.3.6,Security Options,Network security,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
3.3.7,Security Options,Network security,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
3.4.1,Security Options,Network security,ENUM,['2147483640'],['2147483640'],['2147483640'],['2147483640'],basic
3.4.2,Security Options,Network security,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
3.4.3,Security Options,Network security,ENUM,['1'],['2'],['2'],['1'],basic
3.4.4,System settings ,User Account Control ,ENUM,['524288'],['537395200'],['537395200'],['524288'],basic
3.4.5,System settings ,User Account Control ,ENUM,['537395200'],['537395200'],['537395200'],['537395200'],basic
4.1.1,System settings ,User Account Control ,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
4.1.2,System settings ,User Account Control ,ENUM,['2'],['2'],['1'],['2'],basic
4.1.3,System settings ,User Account Control ,ENUM,['3'],['1'],['0'],['3'],basic
4.1.4,System settings ,User Account Control ,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
4.1.5,System settings ,System Services  ,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
4.1.6,System settings ,System Services  ,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
4.2.1,System settings ,System Services  ,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.2,System settings ,System Services  ,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.3,System settings ,System Services  ,ENUM,"['Disabled', 'Not Installed']","['Disabled', 'Not Installed']","['Disabled', 'Not Installed']","['Disabled', 'Not Installed']",basic
4.2.4,System settings ,System Services  ,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.5,System settings ,System Services  ,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.6,System settings ,System Services  ,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.7,System settings ,System Services  ,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.8,System settings ,System Services  ,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.9,System settings ,System Services  ,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.10,System settings ,System Services  ,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.11,System settings ,System Services  ,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.12,System settings ,System Services  ,ENUM,"['Disabled', 'Not Installed']",['Not Installed'],['Not Installed'],"['Disabled', 'Not Installed']",basic
4.2.13,System settings ,System Services  ,ENUM,"['Disabled', 'Not Installed']",['Not Installed'],['Not Installed'],"['Disabled', 'Not Installed']",basic
4.2.14,System settings ,System Services  ,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.15,System settings ,System Services  ,ENUM,"['Disabled', 'Not Installed']","['Disabled', 'Not Installed']","['Disabled', 'Not Installed']","['Disabled', 'Not Installed']",basic
4.2.16,System settings ,System Services  ,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.17,System settings ,System Services  ,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.18,System settings ,System Services  ,ENUM,"['Disabled', 'Not Installed']","['Disabled', 'Not Installed']","['Disabled', 'Not Installed']","['Disabled', 'Not Installed']",basic
4.2.19,System settings ,System Services  ,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.20,System settings ,System Services  ,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.21,System settings ,System Services  ,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.22,System settings ,System Services  ,ENUM,"['Disabled', 'Not Installed']","['Disabled', 'Not Installed']","['Disabled', 'Not Installed']","['Disabled', 'Not Installed']",basic
4.2.23,System settings ,System Services  ,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.24,System settings ,System Services  ,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.25,Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ,Private Profile ,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.26,Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ,Private Profile ,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
5.1.1,Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ,Private Profile ,ENUM,['On'],['On'],['On'],['On'],basic
5.1.2,Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ,Private Profile ,ENUM,['Block'],['Block'],['Block'],['Block'],basic
5.1.3,Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ,Private Profile ,ENUM,['Allow'],['Allow'],['Block'],['Allow'],basic
5.1.4,Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ,Private Profile ,RANGE,['No'],['No'],['No'],['No'],basic
5.1.5,Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ,Private Profile ,ENUM,['%SystemRoot%\System32\logfiles\firewall\privatefw.log'],['%SystemRoot%\System32\logfiles\firewall\privatefw.log'],['%SystemRoot%\System32\logfiles\firewall\privatefw.log'],['%SystemRoot%\System32\logfiles\firewall\privatefw.log'],basic
5.1.7,Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ,Private Profile ,ENUM,['Yes'],['Yes'],['Yes'],['Yes'],basic
5.1.8,Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ,Public Profile,ENUM,['Yes'],['Yes'],['Yes'],['Yes'],basic
5.2.1,Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ,Public Profile,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
5.2.2,Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ,Public Profile,ENUM,['Block'],['Block'],['Block'],['Block'],basic
5.2.3,Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ,Public Profile,ENUM,['Allow'],['Block'],['Block'],['Allow'],basic
5.2.4,Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ,Public Profile,ENUM,['No'],['No'],['No'],['No'],basic
5.2.5,Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ,Public Profile,ENUM,['No'],['No'],['No'],['No'],basic
5.2.6,Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ,Public Profile,ENUM,['No'],['No'],['No'],['No'],basic
